시도명,구시군명,읍면동명,구분,선거인수,투표수,더불어민주당,국민의힘,정의당,기본소득당,녹색당,진보당,계,무효투표수,기권수
경기도,김포시,풍무동,선거일투표,"41,778","18,047","8,005","8,954",581,30,37,72,"17,679",368,"23,731"
경기도,김포시,장기동,소계,"30,202","14,268","6,510","7,060",477,23,27,46,"14,143",125,"15,934"
경기도,김포시,장기동,관내사전투표,"4,043","4,043","1,972","1,909",117,5,9,14,"4,026",17,0
경기도,김포시,장기동,선거일투표,"26,159","10,225","4,538","5,151",360,18,18,32,"10,117",108,"15,934"
경기도,김포시,구래동,소계,"34,220","13,953","6,940","6,416",421,22,25,27,"13,851",102,"20,267"
경기도,김포시,구래동,관내사전투표,"3,959","3,957","2,056","1,762",96,6,6,9,"3,935",22,2
경기도,김포시,구래동,선거일투표,"30,261","9,996","4,884","4,654",325,16,19,18,"9,916",80,"20,265"
경기도,김포시,마산동,소계,"26,513","11,950","5,865","5,405",360,28,17,25,"11,700",250,"14,563"
경기도,김포시,마산동,관내사전투표,"3,146","3,146","1,672","1,341",87,7,2,9,"3,118",28,0
경기도,김포시,마산동,선거일투표,"23,367","8,804","4,193","4,064",273,21,15,16,"8,582",222,"14,563"
경기도,김포시,운양동,소계,"35,626","17,056","7,915","8,341",516,22,21,44,"16,859",197,"18,570"
경기도,김포시,운양동,관내사전투표,"4,218","4,217","2,185","1,912",83,4,5,10,"4,199",18,1
경기도,김포시,운양동,선거일투표,"31,408","12,839","5,730","6,429",433,18,16,34,"12,660",179,"18,569"
